,date,numTweets,pandemic,dayOfWeek,score
102,2014-04-13,8,0,Sunday,-0.005837500000000002
103,2014-04-14,8,0,Monday,0.06592916666666668
104,2014-04-15,16,0,Tuesday,0.07410833333333335
105,2014-04-16,10,0,Wednesday,-0.10517166666666666
106,2014-04-17,20,0,Thursday,0.041995833333333336
107,2014-04-18,3,0,Friday,0.5283333333333333
108,2014-04-19,8,0,Saturday,-0.07997625
109,2014-04-20,14,0,Sunday,0.05337857142857142
110,2014-04-21,6,0,Monday,0.11629166666666668
111,2014-04-22,16,0,Tuesday,0.0022276041666666573
112,2014-04-23,8,0,Wednesday,0.13954895833333333
113,2014-04-24,9,0,Thursday,0.19440000000000002
114,2014-04-25,10,0,Friday,0.15708833333333333
115,2014-04-26,6,0,Saturday,0.0631
116,2014-04-27,3,0,Sunday,-0.5301166666666667
117,2014-04-28,8,0,Monday,0.10406145833333333
118,2014-04-29,11,0,Tuesday,-0.08563257575757577
119,2014-04-30,10,0,Wednesday,0.13907833333333333
120,2014-05-01,11,0,Thursday,0.07580454545454546
121,2014-05-02,21,0,Friday,0.04889126984126985
122,2014-05-03,9,0,Saturday,-0.07386222222222222
123,2014-05-04,8,0,Sunday,0.1931625
124,2014-05-05,13,0,Monday,-0.0019384615384615363
125,2014-05-06,9,0,Tuesday,0.0036222222222222302
126,2014-05-07,21,0,Wednesday,0.007062857142857138
127,2014-05-08,21,0,Thursday,0.027676587301587303
128,2014-05-09,8,0,Friday,-0.023756250000000003
129,2014-05-10,10,0,Saturday,0.0031966666666666662
130,2014-05-11,10,0,Sunday,-0.10358833333333332
131,2014-05-12,19,0,Monday,0.00012280701754386074
132,2014-05-13,13,0,Tuesday,-0.03235512820512821
133,2014-05-14,11,0,Wednesday,-0.07695075757575756
134,2014-05-15,13,0,Thursday,0.12254871794871794
135,2014-05-16,18,0,Friday,-0.06065555555555556
136,2014-05-17,9,0,Saturday,-0.16281111111111113
137,2014-05-18,2,0,Sunday,-0.44984999999999997
138,2014-05-19,7,0,Monday,0.005819047619047619
139,2014-05-20,7,0,Tuesday,-0.008847619047619057
140,2014-05-21,15,0,Wednesday,-0.031966666666666664
141,2014-05-22,13,0,Thursday,0.05622179487179487
142,2014-05-23,15,0,Friday,0.08294333333333333
143,2014-05-24,18,0,Saturday,0.06877777777777778
144,2014-05-25,8,0,Sunday,-0.04156041666666666
145,2014-05-26,9,0,Monday,0.1193611111111111
146,2014-05-27,19,0,Tuesday,-0.034061403508771924
147,2014-05-28,18,0,Wednesday,0.09357685185185187
148,2014-05-29,33,0,Thursday,0.030832828282828288
149,2014-05-30,26,0,Friday,-0.025460192307692305
150,2014-05-31,14,0,Saturday,-0.11434761904761905
151,2014-06-01,8,0,Sunday,-0.015841666666666664
152,2014-06-02,6,0,Monday,0.2619805555555556
153,2014-06-03,7,0,Tuesday,-0.08669523809523809
154,2014-06-04,12,0,Wednesday,0.019459722222222236
155,2014-06-05,9,0,Thursday,-0.1536740740740741
156,2014-06-06,9,0,Friday,0.03811296296296296
157,2014-06-07,18,0,Saturday,0.023218055555555554
158,2014-06-08,4,0,Sunday,0.027475
159,2014-06-09,5,0,Monday,0.14336666666666667
160,2014-06-10,21,0,Tuesday,-0.011835714285714302
161,2014-06-11,16,0,Wednesday,0.15404374999999998
162,2014-06-12,12,0,Thursday,-0.0029694444444444425
163,2014-06-13,8,0,Friday,-0.07555625
164,2014-06-14,6,0,Saturday,0.04635
165,2014-06-15,4,0,Sunday,-0.20102499999999998
166,2014-06-16,16,0,Monday,0.21445729166666663
167,2014-06-17,16,0,Tuesday,0.006233854166666668
168,2014-06-18,12,0,Wednesday,0.2646875
169,2014-06-19,19,0,Thursday,-0.0539811403508772
170,2014-06-20,13,0,Friday,0.07663846153846153
171,2014-06-21,14,0,Saturday,-0.11571666666666666
172,2014-06-22,4,0,Sunday,0.023437499999999993
173,2014-06-23,6,0,Monday,0.11846944444444446
174,2014-06-24,14,0,Tuesday,-0.010422023809523808
175,2014-06-25,9,0,Wednesday,0.0933925925925926
176,2014-06-26,12,0,Thursday,0.14362261904761905
177,2014-06-27,12,0,Friday,0.19617916666666665
178,2014-06-28,5,0,Saturday,0.020530000000000003
179,2014-06-29,2,0,Sunday,0.17
180,2014-06-30,5,0,Monday,0.032360000000000014
181,2014-07-01,4,0,Tuesday,0.049449999999999994
182,2014-07-02,4,0,Wednesday,-0.133125
183,2014-07-03,9,0,Thursday,0.05203703703703704
184,2014-07-04,13,0,Friday,-0.023861538461538455
185,2014-07-05,16,0,Saturday,0.07912604166666666
186,2014-07-06,2,0,Sunday,-0.35495
