date,line,type
21-Oct-17,1,Weekend
22-Oct-17,1,Weekend
27-Oct-17,1,Weekend
28-Oct-17,1,Weekend
04-Nov-17,1,One day
11-Nov-17,1,Weekend
12-Nov-17,1,Weekend
25-Nov-17,1,Weekend
26-Nov-17,1,Weekend
03-Dec-17,1,One day
09-Dec-17,1,Weekend
10-Dec-17,1,Weekend
03-Feb-18,1,Weekend
04-Feb-18,1,Weekend
10-Feb-18,1,Weekend
11-Feb-18,1,Weekend
24-Feb-18,1,One day
10-Mar-18,1,Weekend
11-Mar-18,1,Weekend
17-Mar-18,3,Weekend
18-Mar-18,3,Weekend
30-Mar-18,1,Weekend
31-Mar-18,1,Weekend
01-Apr-18,1,Weekend
08-Apr-18,2,Late opening
14-Apr-18,2,Weekend
15-Apr-18,2,Weekend
21-Apr-18,1,Weekend
22-Apr-18,1,Weekend
23-May-18,2,Early closure
09-Jun-18,1,Weekend
10-Jun-18,1,Weekend
24-Jun-18,3,One day
07-Jul-18,1,Weekend
08-Jul-18,1,Weekend
14-Jul-18,1,Weekend
15-Jul-18,1,Weekend
21-Jul-18,1,Weekend
22-Jul-18,1,Weekend
28-Jul-18,1,Weekend
29-Jul-18,1,Weekend
11-Aug-18,1,Weekend
12-Aug-18,1,Weekend
25-Aug-18,1,Weekend
26-Aug-18,1,Weekend
08-Sep-18,1,Weekend
09-Sep-18,1,Weekend
15-Sep-18,1,Weekend
16-Sep-18,1,Weekend
23-Sep-18,2,Late opening
06-Oct-18,1,Weekend
07-Oct-18,1,Weekend
14-Oct-18,2,Late opening
20-Oct-18,1,One day
27-Oct-18,1,Weekend
28-Oct-18,1,Weekend
29-Oct-18,1,Early closure
30-Oct-18,1,Early closure
31-Oct-18,1,Early closure
01-Nov-18,1,Early closure
03-Nov-18,1,Weekend
04-Nov-18,1,Weekend
05-Nov-18,1,Early closure
06-Nov-18,1,Early closure
07-Nov-18,1,Early closure
08-Nov-18,1,Early closure
10-Nov-18,1,Weekend
11-Nov-18,1,Weekend
17-Nov-18,3,One day
24-Nov-18,1,Weekend
25-Nov-18,1,Weekend
01-Dec-18,1,Weekend
02-Dec-18,1,Weekend
08-Dec-18,2,One day
12-Jan-19,1,Weekend
13-Jan-19,1,Weekend
20-Jan-19,1,One day
02-Feb-19,1,Weekend
03-Feb-19,1,Weekend
